الوحدة التدريبية,المرحلة التدريبية,القسم,التخصص,فعالية البرنامج,المقررات,الوحدات المعتمدة,الفصل التدريبي,عدد المقررات المطلوبة,عدد الوحدات المطلوبة,المقرر,اسم المقرر,محاضرة,عملي
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,احصا-303,الإحصاء والاحتمالات,3,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,احصا-303,الإحصاء والاحتمالات,3,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,احصا-303,الإحصاء والاحتمالات,3,0
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,انجل-301,لغة انجليزية1,4,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,انجل-301,لغة انجليزية1,4,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,انجل-301,لغة انجليزية1,4,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,رياض-304,رياضيات تطبيقية,3,0
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,رياض-304,رياضيات تطبيقية,3,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,رياض-304,رياضيات تطبيقية,3,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-321,أساسيات الأمن السيبراني,1,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-321,أساسيات الأمن السيبراني,1,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-321,أساسيات الأمن السيبراني,1,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-351,مبادئ برمجة الحاسب,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-351,مبادئ برمجة الحاسب,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,سيبر-351,مبادئ برمجة الحاسب,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,شبكا-313,شبكات الحاسب,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,شبكا-313,شبكات الحاسب,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,شبكا-313,شبكات الحاسب,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,نشبك-312,أساسيات إدارة أنظمة الشبكات,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,نشبك-312,أساسيات إدارة أنظمة الشبكات,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الأول ,7,20,نشبك-312,أساسيات إدارة أنظمة الشبكات,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-423,اختبار الاختراق,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-423,اختبار الاختراق,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-423,اختبار الاختراق,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-431,إدارة أمن المعلومات,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-431,إدارة أمن المعلومات,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-431,إدارة أمن المعلومات,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-442,التقنيات المتقدمة في أمن الشبكات,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-442,التقنيات المتقدمة في أمن الشبكات,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-442,التقنيات المتقدمة في أمن الشبكات,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-444,أمن الحوسبة السحابية و الأنظمة التخيلية,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-444,أمن الحوسبة السحابية و الأنظمة التخيلية,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-444,أمن الحوسبة السحابية و الأنظمة التخيلية,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-453,تأمين تطوير البرمجيات,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-453,تأمين تطوير البرمجيات,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,سيبر-453,تأمين تطوير البرمجيات,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,عامة-402,إدارة المشاريع الهندسية,3,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,عامة-402,إدارة المشاريع الهندسية,3,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,عامة-402,إدارة المشاريع الهندسية,3,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,عامة-405,إقتصاد هندسي,2,0
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,عامة-405,إقتصاد هندسي,2,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثالث ,7,20,عامة-405,إقتصاد هندسي,2,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,انجل-302,لغة انجليزية 2,4,0
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,انجل-302,لغة انجليزية 2,4,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,انجل-302,لغة انجليزية 2,4,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-312,أمن أنظمة التشغيل,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-312,أمن أنظمة التشغيل,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-312,أمن أنظمة التشغيل,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-322,التشفير التطبيقي,3,0
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-322,التشفير التطبيقي,3,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-322,التشفير التطبيقي,3,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-352,برمجة متقدمة,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-352,برمجة متقدمة,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-352,برمجة متقدمة,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-441,أمن الشبكات والاتصالات,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-441,أمن الشبكات والاتصالات,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,سيبر-441,أمن الشبكات والاتصالات,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,نشبك-444,أنظمة شبكات المصادر المفتوحة,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,نشبك-444,أنظمة شبكات المصادر المفتوحة,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الثاني ,6,18,نشبك-444,أنظمة شبكات المصادر المفتوحة,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19, سيبر-472,أمن الأنظمة المدمجة,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19, سيبر-472,أمن الأنظمة المدمجة,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19, سيبر-472,أمن الأنظمة المدمجة,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19, سيبر-482,موضوعات متقدمة في الأمن,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19, سيبر-482,موضوعات متقدمة في الأمن,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19, سيبر-482,موضوعات متقدمة في الأمن,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-424,الفحص الجنائي الرقمي,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-424,الفحص الجنائي الرقمي,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-424,الفحص الجنائي الرقمي,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-432,إدارة المخاطر والإستجابة للحوداث,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-432,إدارة المخاطر والإستجابة للحوداث,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-432,إدارة المخاطر والإستجابة للحوداث,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-443,أمن الشبكات اللاسلكية,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-443,أمن الشبكات اللاسلكية,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-443,أمن الشبكات اللاسلكية,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-461,الأخلاقيات و قانون الأمن السيبراني,2,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-461,الأخلاقيات و قانون الأمن السيبراني,2,0
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-461,الأخلاقيات و قانون الأمن السيبراني,2,0
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-471,الحوسبة الموثوقة,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-471,الحوسبة الموثوقة,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-471,الحوسبة الموثوقة,2,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-481,أمن إنترنت الأشياء,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-481,أمن إنترنت الأشياء,2,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-481,أمن إنترنت الأشياء,2,2
كلية الاتصالات والإلكترونيات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-491,مشروع التخرج,1,2
الكلية التقنية,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-491,مشروع التخرج,1,2
كلية الاتصالات والمعلومات,بكالوريوس,الحاسب وتقنية المعلومات,الأمن السيبراني,برامج مفعله,27,77,الفصل التدريبي الرابع ,7,19,سيبر-491,مشروع التخرج,1,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الأول ,7,19,انجل-301,لغة انجليزية1,4,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الأول ,7,19,رياض-301,رياضيات1,3,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الأول ,7,19,فيزي-301,فيزياء,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الأول ,7,19,يشيد-311,ميكانيكا التربة,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الأول ,7,19,يشيد-312,خواص مواد البناء,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الأول ,7,19,يشيد-321,رسم معماري,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الأول ,7,19,يشيد-373,الهدرولوجيا والتصرف في المياه,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21, يشيد-404,أساليب السلامة في المباني,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21, يشيد-433,تصميم الخرسانة سابقة الاجهاد,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21,عامة-402,إدارة المشاريع الهندسية,3,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21,عامة-404,أدوات الجودة و تطبيقاتها,3,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21,يشيد-372,تحليل وتصميم الاساسات,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21,يشيد-374,هيدروليكا,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21,يشيد-463,تطبيقات الحاسب الآلي في ادارة,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21,يشيد-464,هندسة الرصف والطرق,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21,يشيد-473,عيوب التصميم والترميم,3,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثالث ,8,21,يشيد-486,استدامة المباني,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثاني ,7,20,احصا-303,الإحصاء والاحتمالات,3,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثاني ,7,20,انجل-302,لغة انجليزية 2,4,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثاني ,7,20,رياض-302,رياضيات2,3,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثاني ,7,20,فيزي-361,فيزياء 1,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثاني ,7,20,يشيد-334,تحليل انشائي,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثاني ,7,20,يشيد-341,مساحة متقدمة,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الثاني ,7,20,يشيد-381,رسم إنشائي,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17, يشيد-405,استخدام النفايات في التشييد,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17, يشيد-435,تقنيات الخرسانة المتقدمة,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17,عامة-403,مهارات الإتصال,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17,عامة-405,إقتصاد هندسي,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17,يشيد-403,اخلاقيات مهنة المهندس,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17,يشيد-431,تصميم الإنشاءات المعدنية,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17,يشيد-465,نمذجة معلومات البناء,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17,يشيد-475,هندسة ميكانيكية وكهربائية,2,0
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17,يشيد-476,تصميم الانشاءات الخرسانية,2,2
الكلية التقنية,بكالوريوس,التقنية المدنية والمعمارية,الهندسة المدنية التطبيقية,برامج مفعله,30,77,الفصل التدريبي الرابع ,8,17,يشيد-491,مشروع التخرج,1,2
الكلية التقنية,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,اسلم-301,فقه المعاملات,2,0
كلية السياحة و الفندقة,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,اسلم-301,فقه المعاملات,2,0
الكلية التقنية,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,اقصد-301,مبادئ الاقتصاد,3,0
كلية السياحة و الفندقة,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,اقصد-301,مبادئ الاقتصاد,3,0
الكلية التقنية,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,انجل-301,لغة انجليزية1,4,0
كلية السياحة و الفندقة,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,انجل-301,لغة انجليزية1,4,0
كلية السياحة و الفندقة,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,فندق-321,إدارة الأغذية والمشروبات,2,2
الكلية التقنية,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,فندق-321,إدارة الأغذية والمشروبات,2,2
كلية السياحة و الفندقة,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,فندق-331,إدارة مرافق الضيافة,2,2
الكلية التقنية,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,فندق-331,إدارة مرافق الضيافة,2,2
الكلية التقنية,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,محسب-301,مبادئ المحاسبة,3,0
كلية السياحة و الفندقة,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الأول ,6,17,محسب-301,مبادئ المحاسبة,3,0
كلية السياحة و الفندقة,بكالوريوس,تقنية السياحة والضيافة,إدارة الضيافة,برامج مفعله,23,66,الفصل التدريبي الثالث ,6,17, فندق-467,عمليات السفن السياحية,4,0
